b0,b1,p,w,c,label
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
0,0,0,0,0,00
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
0,1,1,1,0,10
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,0,1,1,0,01
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
1,1,0,2,1,11
